st_name,value,st_num,property_id,zip_code
PRINCETON,659100,270,0100199000,02128
PRINCETON,670600,268,0100200000,02128
PRINCETON,607800,266,0100201000,02128
ORIENT,174200,   ,0101993000,02128
LEXINGTON,550500,256,0100202000,02128
PRESCOTT,526300,10,0100203000,02128
PRESCOTT,554300,8,0100204000,02128
PRESCOTT,505400,6,0100205000,02128
TRENTON,642100,217,0100206000,02128
TRENTON,661600,219,0100207000,02128
TRENTON,645900,221,0100208000,02128
TRENTON,507800,223,0100209000,02128
TRENTON,653600,225 227,0100210000,02128
TRENTON,568500,229,0100211000,02128
TRENTON,416600,233,0100212000,02128
TRENTON,303300,237,0100213002,02128
TRENTON,237500,237,0100213004,02128
TRENTON,211200,239,0100213006,02128
TRENTON,237500,239,0100213008,02128
TRENTON,650700,247,0100218000,02128
E EAGLE,660800,291,0100219000,02128
E EAGLE,583600,297,0100220000,02128
E EAGLE,271700,301,0100221000,02128
E EAGLE,321900,303,0100222000,02128
BENNINGTON,544500,291 293,0100326000,02128
E EAGLE,325300,305,0100223000,02128
E EAGLE,293700,307,0100224000,02128
E EAGLE,293500,309,0100225000,02128
E EAGLE,476700,311,0100226000,02128
E EAGLE,424600,313,0100227000,02128
E EAGLE,267200,315,0100228000,02128
E EAGLE,343400,317,0100229000,02128
LEXINGTON,303700,1,0100230000,02128
LEXINGTON,366700,2,0100231000,02128
LEXINGTON,543500,306 308,0100232000,02128
LEXINGTON,306900,302,0100233000,02128
LEXINGTON,349600,300,0100234000,02128
LEXINGTON,273400,298,0100235000,02128
LEXINGTON,289700,296,0100236000,02128
LEXINGTON,345600,294,0100237000,02128
LEXINGTON,350000,292,0100238000,02128
LEXINGTON,340800,290,0100239000,02128
LEXINGTON,386200,288,0100240000,02128
LEXINGTON,399900,286,0100241000,02128
LEXINGTON,517200,284,0100242000,02128
LEXINGTON,616900,282 A,0100243000,02128
LEXINGTON,717000,282,0100244000,02128
MARGINAL,23900,   ,0104569000,02128
LEXINGTON,602100,280,0100245000,02128
LEXINGTON,509500,278,0100246000,02128
LEXINGTON,493400,276,0100247000,02128
LEXINGTON,578800,274,0100248000,02128
LEXINGTON,475400,270,0100249000,02128
LEXINGTON,309900,266,0100250002,02128
LEXINGTON,313500,266,0100250004,02128
LEXINGTON,305000,266,0100250006,02128
LEXINGTON,324600,264,0100251000,02128
LEXINGTON,353100,262,0100252000,02128
BENNINGTON,733500,295 297,0100327000,02128
LEXINGTON,537100,260,0100253000,02128
LEXINGTON,530200,258,0100254000,02128
SHELBY,466300,2 4,0100255000,02128
LEXINGTON,582100,317,0100256000,02128
E EAGLE,319900,325,0100257002,02128
E EAGLE,326300,325,0100257004,02128
E EAGLE,347700,325,0100257006,02128
E EAGLE,624100,327,0100258000,02128
E EAGLE,592830,329,0100259000,02128
E EAGLE,530100,331,0100260000,02128
E EAGLE,473900,333,0100261000,02128
E EAGLE,691100,335,0100262000,02128
E EAGLE,493500,337,0100263000,02128
E EAGLE,79800,   ,0100264000,02128
E EAGLE,95500,   ,0100265000,02128
PRINCETON,45200,   ,0100266000,02128
PRINCETON,640400,362,0100268000,02128
PRINCETON,481800,360,0100269000,02128
PRINCETON,740892,358,0100270000,02128
PRINCETON,597700,356,0100271000,02128
PRINCETON,628600,352,0100272000,02128
PRINCETON,36300,   ,0100273000,02128
PRINCETON,725300,342 R342,0100274000,02128
PRINCETON,725300,342 R342,0100274000,02128
SHELBY,533600,18 20,0100275000,02128
SHELBY,527300,16,0100276000,02128
SHELBY,523400,14,0100277000,02128
SHELBY,486400,12,0100278000,02128
SHELBY,487500,10,0100279000,02128
SHELBY,599900,8,0100280000,02128
SHELBY,322000,6,0100281000,02128
SHELBY,677500,22 24,0100282000,02128
PRINCETON,272000,345 345R,0100283000,02128
PRINCETON,589200,347,0100284000,02128
PRINCETON,323000,349,0100285000,02128
PRINCETON,492400,357,0100286000,02128
PRINCETON,275264,359,0100287000,02128
PRINCETON,469500,361,0100288000,02128
PRINCETON,29900,   ,0100289000,02128
PRINCETON,439500,   ,0100290000,02128
PRINCETON,439500,   ,0100291000,02128
EAGLE,425000,2 4,0100292000,02128
CHELSEA,270000,434,0100293000,02128
CHELSEA,279664,432 R432,0100294000,02128
CHELSEA,279664,432 R432,0100294000,02128
CHELSEA,644400,430,0100295000,02128
CHELSEA,827500,428,0100296000,02128
CHELSEA,547800,426 A426,0100297000,02128
CHELSEA,297000,424,0100298000,02128
CHELSEA,570100,422,0100299000,02128
CHELSEA,603800,420,0100300000,02128
SARATOGA,712300,480,0100301000,02128
SARATOGA,647900,478,0100302000,02128
SARATOGA,757500,476 476A,0100303000,02128
SARATOGA,867500,474 474A,0100303001,02128
SHELBY,769000,34,0100304000,02128
SHELBY,769000,32,0100305000,02128
SHELBY,489000,30,0100306000,02128
SHELBY,375000,26 28,0100307000,02128
CONDOR,1030600, SWS,0100312000,02128
CHELSEA,374500,343 345,0100315000,02128
CHELSEA,183000,347 A347,0100316000,02128
CHELSEA,474000,351,0100317000,02128
CHELSEA,422500,353 A353,0100318000,02128
CHELSEA,514900,355,0100319000,02128
CHELSEA,474700,357,0100320000,02128
CHELSEA,117000,359 361,0100321000,02128
CHELSEA,1083000,365 A367,0100322000,02128
CHELSEA,368000,369,0100323000,02128
CHELSEA,197500,371,0100324000,02128
CHELSEA,468500,373 A373,0100325000,02128
